Parent Link,Parent Title,Child Link,Child Title
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Hugh_Capet',b'Hugh Capet'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Duke_of_the_Franks',b'Duke of the Franks'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Paris_in_the_Middle_Ages',b'Paris in the Middle Ages'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Paris_in_the_16th_century',b'Paris in the 16th century'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Paris_in_the_17th_century',b'Paris in the 17th century'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Palais_de_la_Cit%C3%A9',b'Palais de la Cit\xc3\xa9'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Tr%C3%A8s_Riches_Heures_du_duc_de_Berry',b'Tr\xc3\xa8s Riches Heures du duc de Berry'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Louis_VII_of_France',b'Louis VII of France'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Maurice_de_Sully',b'Maurice de Sully'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Les_Halles',b'Les Halles'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Place_de_l%27H%C3%B4tel-de-Ville_%E2%80%93_Esplanade_de_la_Lib%C3%A9ration',"b""Place de l'H\xc3\xb4tel-de-Ville \xe2\x80\x93 Esplanade de la Lib\xc3\xa9ration"""

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Philip_II_of_France',b'Philip II of France'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/University_of_Paris',b'University of Paris'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/H%C3%B4tel_de_Sens',b'H\xc3\xb4tel de Sens'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Hundred_Years%27_War',"b""Hundred Years' War"""

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Burgundian_State',b'Burgundian State'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Henry_V_of_England',b'Henry V of England'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Joan_of_Arc',b'Joan of Arc'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/French_Wars_of_Religion',b'French Wars of Religion'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Catholic_League_(French)',b'Catholic League (French)'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/St._Bartholomew%27s_Day_massacre',"b""St. Bartholomew's Day massacre"""

